kol_id,ad,dugum_a,dugum_b,R_Ns2_m8,alan_m2,uzunluk_m,tip,fan_p0_Pa,fan_k,RemoteOps_Q_m3s,RemoteOps_hiz_ms,MFIRE_Q_m3s,fark_yuzde
B01,Giris kuyusu,N0,N1,0.0030,19.6,,kuyu,,,117.605,6.000,,
B02,Ana yol - dogu,N1,N2,0.0250,16.0,,galeri,,,67.672,4.230,,
B03,Ana yol - bati,N1,N3,0.0280,16.0,,galeri,,,46.500,2.906,,
B04,ARIN 1 giris yolu,N2,N4,0.0600,12.0,,galeri,,,38.753,3.229,,
B05,ARIN 1,N4,N5,0.7500,7.5,,arin,,,39.853,5.314,,
B06,ARIN 1 donus,N5,N10,0.0700,12.0,,galeri,,,39.853,3.321,,
B07,ARIN 2 giris yolu,N2,N6,0.0650,12.0,,galeri,,,36.603,3.050,,
B08,ARIN 2,N6,N7,0.8500,7.5,,arin,,,37.566,5.009,,
B09,ARIN 2 donus,N7,N10,0.0750,12.0,,galeri,,,37.566,3.131,,
B10,ARIN 3 giris yolu,N3,N8,0.0900,11.0,,galeri,,,37.751,3.432,,
B11,ARIN 3,N8,N9,0.9500,7.0,,arin,,,35.687,5.098,,
B12,ARIN 3 donus + TENZIM 1,N9,N10,0.0850,11.0,,tenzim,,,35.687,3.244,,
B13,Ana donus yolu,N10,N11,0.0200,18.0,,galeri,,,114.172,6.343,,
B14,Cikis kuyusu + FAN,N11,N0,0.0035,19.6,,kuyu,3000.0,0.0826,117.605,6.000,,
B15,QAPI 1 (hava kapisi),N2,N10,5000.0000,9.0,,kapi,,,0.528,0.059,,
B16,QAPI 2 (hava kapisi),N3,N10,5000.0000,9.0,,kapi,,,0.538,0.060,,
B17,Baraj sizintisi,N1,N11,150.0000,1.0,,sizinti,,,3.433,3.433,,
B18,Baglanti yolu (bas),N4,N6,2.5000,6.0,,galeri,,,-1.100,0.183,,
B19,Baglanti yolu,N8,N6,3.0000,6.0,,galeri,,,2.063,0.344,,
B20,Seviyeler arasi bag,N3,N2,0.8000,9.0,,galeri,,,8.212,0.912,,
